username,session,new_session,new_timing
7be41e5404ebdddec70da54a4920ec180d9e6f73,f254e7de-b4a9-4a80-8ce5-5b934f2d6cfd,cdead6f6-b147-4181-a22e-106e6d641c19,
b4f911698dbb35057e4fafded1ec7db6035a870d,779cd4a9-361d-4898-ae48-8ebf608d34ed,6fa2d856-5908-4c57-9181-56b6e4ef9e99,
5776f2d9316f326af43acbb15f55440397e32645,f6c437b0-21c3-4ab9-9f04-6f6c373498e3,33123006-142b-4fe2-a9f2-e05a30d6cd9f,
hc_b128084ab1f9b0735d248ec23ca5d0e11914f7e8,0816620c-b7c5-41e5-bf9a-54014363f51e,9a47eb9e-a4c1-4784-969d-bcd350878252,
hc_46a270bb312e2f9c8d1e107fa80f0c66bbd91ce2,5576460c-f479-41c3-aa7f-216205b165b4,721c8a14-d6e0-4a1d-8788-211897558828,
8075108c65c741730e6dca230c58657689d59f6b,ed6f7b65-4d55-4624-a6bc-9b4d43840ebd,cc5221d1-b149-4303-a8fb-8fd460babd2d,
hc_b063f72a6b3f366803d0f1f49024b767df51b278,92bd641a-7727-41fc-886f-19d196c2be7c,ea517f4e-c55f-4843-868e-297c9289fc17,
hc_80bb140f7c0b58559bf90f236fa2a750514b13bd,d615ee58-c753-49c3-8f48-4ef270c66b49,9e6f5663-aebc-42ec-ad0e-819cac2e7048,
6adb9ad6636a73b9501599b2e53b7649654268a7,ca05cbbc-ff57-4c5f-969d-b4305e470c45,556fb8bb-e1e5-4136-9f85-c6a811219780,
6adb9ad6636a73b9501599b2e53b7649654268a7,d2368079-c2dd-4b48-83fe-fe70d0521dd3,556fb8bb-e1e5-4136-9f85-c6a811219780,
hc_63fb9e5416fe7b05cb5f2564fca55ae226712f54,b92dff7f-2a68-460d-8bf3-d48e94703390,b10a810f-7688-4a61-946c-564d1b2d102e,
a297d393100991c1a523d7c3a83299ea3f7cbf20,f36e1ff2-377c-4faa-8a78-47f977c8dab4,67c9fd37-64e6-4645-b9fb-1c910e7e8bbb,
hc_48022c9a8fa56d68ca3ec8c28c98b541b0f3dc95,ae0f7ee1-0bb9-413f-826e-994dcc28f5fb,605bf5a8-b348-424d-a26e-57d0363b7cf5,
